IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.102.102,2096,2096,true,SIN,Asia Pacific,Singapore,119,2.62
47.236.174.206,80,80,false,SIN,Asia Pacific,Singapore,111,2.57
47.236.202.91,2095,2095,false,SIN,Asia Pacific,Singapore,104,2.50
8.219.161.129,2083,2083,true,SIN,Asia Pacific,Singapore,111,2.46
8.219.6.150,2052,2052,false,SIN,Asia Pacific,Singapore,60,2.45
47.236.75.152,8880,8880,false,SIN,Asia Pacific,Singapore,106,2.38
47.238.207.144,80,443,true,SIN,Asia Pacific,Singapore,47,2.29
8.219.139.13,2053,0,true,SIN,Asia Pacific,Singapore,101,2.28
47.236.172.95,2082,2082,false,SIN,Asia Pacific,Singapore,115,2.27
8.222.244.192,2052,0,false,SIN,Asia Pacific,Singapore,89,2.26
8.219.93.5,2087,0,true,SIN,Asia Pacific,Singapore,65,2.25
47.236.170.54,2086,2086,false,SIN,Asia Pacific,Singapore,102,2.24
47.237.8.82,8080,8080,false,SIN,Asia Pacific,Singapore,252,2.20
8.219.229.190,8880,8880,false,SIN,Asia Pacific,Singapore,104,2.19
8.219.200.145,2083,2083,true,SIN,Asia Pacific,Singapore,107,2.12
47.237.84.173,2053,2053,true,SIN,Asia Pacific,Singapore,253,2.12
47.237.125.8,2095,2095,false,SIN,Asia Pacific,Singapore,251,1.91
47.237.100.206,2096,2096,true,SIN,Asia Pacific,Singapore,259,1.81
8.219.139.13,80,80,false,SIN,Asia Pacific,Singapore,100,1.66
47.237.95.13,2086,0,false,SIN,Asia Pacific,Singapore,264,1.64
8.219.98.13,8880,8880,false,SIN,Asia Pacific,Singapore,63,1.51
8.219.248.47,2087,2087,true,SIN,Asia Pacific,Singapore,102,1.50
54.169.152.207,2086,443,true,SIN,Asia Pacific,Singapore,71,1.42
8.217.142.78,80,443,true,SIN,Asia Pacific,Singapore,30,1.24
47.237.95.146,2087,0,true,SIN,Asia Pacific,Singapore,259,1.22
47.237.92.26,80,0,false,SIN,Asia Pacific,Singapore,268,1.21
47.238.48.58,80,443,true,SIN,Asia Pacific,Singapore,36,1.13
47.237.14.220,8880,8880,false,SIN,Asia Pacific,Singapore,259,1.06
8.219.60.54,80,80,false,SIN,Asia Pacific,Singapore,65,1.00
47.237.95.156,2096,0,true,SIN,Asia Pacific,Singapore,295,0.93
47.250.176.132,80,443,true,SIN,Asia Pacific,Singapore,125,0.92
47.237.81.112,80,80,false,SIN,Asia Pacific,Singapore,269,0.88
47.250.152.116,80,443,true,SIN,Asia Pacific,Singapore,87,0.78
47.237.0.31,8880,0,false,SIN,Asia Pacific,Singapore,256,0.77
